tokens,embedding
caught,"[ 0.00535362 -0.03003827  0.00636236 ... -0.00153785 -0.01124127
 -0.0231023 ]"
causal,"[-0.02526893 -0.01089992 -0.00258275 ... -0.02329849 -0.0081177
 -0.0178173 ]"
cause,"[-0.03708785 -0.00321287 -0.00224154 ... -0.0077359   0.00754824
 -0.00861862]"
caused,"[ 0.00453892 -0.01538736  0.00595821 ... -0.00707186  0.0119375
 -0.03395055]"
causing,"[-0.01185299 -0.00368311 -0.00201084 ...  0.00727047  0.0164697
 -0.01198978]"
cautionary,"[-0.00679002 -0.02248783 -0.01879994 ... -0.02089344  0.02209963
 -0.00188727]"
cave,"[-0.01582464 -0.03000516  0.01055832 ... -0.01683937 -0.01987071
 -0.00736   ]"
cbdc,"[-0.02054645 -0.00808757 -0.01670987 ... -0.01156323 -0.01298022
 -0.03200273]"
cdc,"[-0.02777624 -0.00442341 -0.01142304 ... -0.02102834  0.02109372
 -0.02788085]"
cedes,"[-0.02112039 -0.0160415  -0.00157674 ... -0.01307882  0.00211794
 -0.01064345]"
celebrated,"[-0.02779436 -0.00158294  0.01500814 ... -0.00455969  0.00097294
  0.00445746]"
censor,"[-0.02376467 -0.0144565   0.00240255 ... -0.02248788  0.01220496
  0.00262736]"
censored,"[-0.01573332 -0.01179999 -0.0113615  ... -0.02437225  0.0170946
 -0.00309071]"
censoring,"[-0.00169493 -0.02688209  0.01158855 ... -0.01858068 -0.00489588
 -0.00279615]"
censorship,"[ 0.00349885 -0.01790698  0.00673738 ... -0.00794648  0.00822049
 -0.00102927]"
center,"[-0.01785596 -0.00963894 -0.00143131 ... -0.0089895   0.00393419
 -0.00576627]"
centered,"[ 0.00357217 -0.02565755  0.00528949 ... -0.01636215  0.0078496
 -0.00733476]"
central,"[-0.01213987 -0.02188696 -0.00307016 ... -0.01924082  0.004117
 -0.01836815]"
centre,"[-0.00714292 -0.02692119  0.01163672 ... -0.0233428  -0.0146742
 -0.02687958]"
ceo,"[-0.00776075 -0.04871064 -0.01332689 ... -0.00178788 -0.00486345
  0.00154817]"
ceos,"[-0.0289061  -0.03415931 -0.00233364 ...  0.00866105  0.00620956
 -0.00953659]"
ceremony,"[-0.01563693 -0.01408377  0.00542291 ... -0.00470885 -0.01052992
 -0.02111249]"
certain,"[-0.03423341 -0.01101453 -0.00145857 ... -0.00493323  0.00249967
 -0.01169642]"
certainly,"[-0.02182204 -0.03149915 -0.01775987 ... -0.00892846 -0.00582637
  0.00275375]"
certification,"[-0.01502285 -0.01040561  0.00667346 ... -0.02098622 -0.00649846
 -0.00994119]"
cetf,"[-0.00691369 -0.02102957  0.00870236 ... -0.02036433 -0.00921147
 -0.03478228]"
chain,"[-0.01226217 -0.02300709 -0.00034785 ... -0.00953801  0.01296563
 -0.02791748]"
champ,"[-0.00956873 -0.00459062 -0.00945051 ... -0.03057789  0.02110768
 -0.01897984]"
chan,"[ 0.01252651 -0.04061771  0.01560546 ... -0.01767169 -0.02109728
 -0.0206351 ]"
change,"[-0.00904842 -0.02485919 -0.00635511 ...  0.00681711  0.00074776
 -0.01132763]"
changed,"[-0.00586349 -0.01766961  0.00449654 ... -0.00758297  0.00259361
 -0.03047576]"
channel,"[-0.00707345 -0.0087792   0.00503602 ... -0.0113649   0.00774356
 -0.02071268]"
chaotic,"[-0.02482749 -0.03514752 -0.02105879 ... -0.00651418 -0.00625077
 -0.00516677]"
chapel,"[ 0.00444827 -0.02520456  0.00714777 ... -0.01729343 -0.01376119
 -0.02995123]"
chapter,"[-0.04102965 -0.0073608  -0.01117751 ... -0.01428541 -0.00138867
 -0.0239635 ]"
charge,"[-0.00273654 -0.02520937 -0.01389169 ... -0.01451529 -0.00743013
 -0.02969399]"
charging,"[-0.00972206 -0.02946162  0.00216771 ... -0.00472705 -0.00696003
 -0.03262215]"
chariot,"[-0.01766565 -0.03253083 -0.0070012  ... -0.00661224 -0.01381146
 -0.02664699]"
charles,"[-0.00703591 -0.02272723  0.00019797 ... -0.01040417 -0.00281539
 -0.02154323]"
charlie,"[ 1.04943616e-02 -2.75636651e-02  9.24391206e-03 ... -2.81283837e-02
 -2.67600753e-05 -3.26461345e-02]"
chat,"[-0.01349242 -0.02205054 -0.03075576 ...  0.00641859  0.01016277
 -0.02237147]"
chatbot,"[-0.02223741 -0.00450026 -0.0061364  ... -0.00157984 -0.0068366
  0.00098168]"
chatbots,"[-0.02440991 -0.00463266 -0.01406626 ... -0.00033783 -0.00917604
 -0.00219614]"
chateau,"[-0.0057232  -0.02487445  0.01920668 ... -0.01629658 -0.01061495
 -0.020149  ]"
chatgpt,"[-0.01967713 -0.01630748  0.01357569 ... -0.00231057 -0.01630748
 -0.00148462]"
check,"[-0.02499842 -0.02179699  0.01657934 ... -0.02258713 -0.00140063
 -0.02129293]"
checkmate,"[-0.0178116  -0.01923653  0.00873481 ... -0.02730162 -0.0010402
 -0.02952451]"
chemical,"[-0.02982417 -0.01856459  0.01131451 ... -0.02390603  0.00339847
 -0.01587327]"
cheney,"[-0.0326211  -0.00769875  0.0073183  ... -0.00099606  0.00834204
 -0.00912367]"
cheyenne,"[-3.56436111e-02 -2.52308715e-02  5.99400047e-03 ... -7.56133522e-05
  1.05128633e-02 -5.48337586e-03]"
chicago,"[-0.02725313 -0.01071571  0.03084296 ...  0.00288396  0.01272575
 -0.00471249]"
chick,"[-0.00856916 -0.02741572  0.00744201 ... -0.02889992 -0.01171259
 -0.01186661]"
chief,"[-0.01592979 -0.01383273  0.01065459 ... -0.01258232 -0.00954094
  0.00230057]"
child,"[-0.00939332 -0.01690248 -0.02160602 ... -0.01808524  0.0105417
 -0.0033162 ]"
children,"[-0.01662983 -0.02127722 -0.01784767 ... -0.0199194   0.00196499
  0.00426594]"
china,"[-0.00667075 -0.01967731  0.0037366  ... -0.0069673  -0.01692807
 -0.02149153]"
chinese,"[-0.02368899 -0.02156967 -0.0032487  ... -0.01988258 -0.02204373
 -0.01788874]"
chip,"[ 0.0012987  -0.01706656  0.01243642 ... -0.00325556 -0.01084834
 -0.02227546]"
chmunkhbayar,"[-0.01709056 -0.00838378  0.00041647 ... -0.00210297 -0.00064774
 -0.01495599]"
choked,"[-0.021577   -0.01789115 -0.0066621  ...  0.00626527 -0.01470303
 -0.00647377]"
choose,"[-0.01066798 -0.02637725 -0.00535121 ... -0.00431127  0.00314048
 -0.02228636]"
chrissy,"[-6.42324594e-05 -2.47788057e-02 -2.39773351e-03 ... -1.35515351e-02
 -1.93154458e-02 -2.49958690e-03]"
christianity,"[-0.02547508 -0.0212338  -0.01079534 ... -0.02699864 -0.00065755
 -0.013966  ]"
christians,"[-0.01878524 -0.02279977 -0.00512199 ... -0.00846513 -0.0129434
 -0.01903442]"
christina,"[-0.00709978 -0.02472123 -0.00928225 ... -0.00914079 -0.00328213
 -0.01132327]"
christmas,"[-0.01622888 -0.02598528 -0.00820982 ... -0.00032788 -0.00935443
 -0.04725588]"
chrono,"[-0.02432038 -0.0066501  -0.01241805 ...  0.00072396 -0.01794171
 -0.0413935 ]"
chunk,"[-0.0050972  -0.02197613  0.0156816  ... -0.03021375 -0.01465531
 -0.02821593]"
church,"[-0.01371918 -0.01672499 -0.0004981  ... -0.02804503 -0.01049965
 -0.03369816]"
churchgoer,"[-0.01212899 -0.0237247  -0.02161887 ... -0.01873362 -0.01248452
 -0.00585597]"
cia,"[-0.01373616 -0.02396642 -0.02433103 ... -0.02947771  0.00908732
 -0.01115581]"
cia27,"[-0.00247134 -0.01548275  0.00496303 ... -0.02161614  0.00854876
 -0.02730174]"
ciadarpa,"[-0.01614235 -0.02545211 -0.00655698 ... -0.03127751  0.02078362
 -0.01596541]"
ciawef,"[-0.01715189 -0.00789184  0.00373434 ...  0.01143224  0.00157537
 -0.00408697]"
cicada,"[ 0.00625655 -0.01303393  0.00459517 ... -0.00677738 -0.02155839
 -0.00949361]"
circulating,"[ 0.01330738 -0.02435264  0.00196539 ... -0.00492219  0.00290968
 -0.01117792]"
circumvent,"[ 0.00876073 -0.02663098 -0.01227597 ... -0.0056148  -0.00204485
 -0.00735874]"
circuses,"[-0.00781989 -0.00573841 -0.01142959 ... -0.00352536  0.00131653
 -0.00310367]"
cisa,"[-0.01733684 -0.01634493 -0.01016347 ... -0.00857498 -0.01038629
 -0.00306917]"
cite,"[-0.00577524 -0.03597784  0.01486642 ... -0.02898675 -0.02361218
 -0.02460696]"
citizen,"[-0.00128994 -0.02033427  0.02587494 ... -0.02821587 -0.01847814
 -0.02655367]"
citizens,"[-0.00772293 -0.02779981  0.01068431 ... -0.01635283 -0.02026926
 -0.03254076]"
city,"[ 0.00851063 -0.01006933  0.01266716 ... -0.00830573 -0.01184024
 -0.00716049]"
civil,"[-0.01095072 -0.02282432  0.0017132  ... -0.01132263 -0.01719056
 -0.0102551 ]"
civilian,"[-0.01692116 -0.00965654 -0.00084657 ... -0.00727829 -0.01418753
  0.00066803]"
civilization,"[-1.84632349e-03 -2.64779571e-02 -6.91169262e-05 ... -1.92185491e-02
 -3.23980814e-03 -1.44768544e-02]"
claim,"[-0.01037795 -0.01229137 -0.00242911 ... -0.01333699  0.00043701
 -0.01267547]"
claimed,"[-0.02686134 -0.01538697  0.00960369 ... -0.01852233 -0.00566802
 -0.00998573]"
claiming,"[ 0.00566988 -0.01042616  0.0014227  ... -0.00846646  0.00930335
 -0.02512043]"
claims,"[-0.02121566  0.00195134  0.00374699 ... -0.00134501 -0.01422681
 -0.02614246]"
clandestine,"[-0.00118965 -0.01529179  0.00281746 ... -0.03142148 -0.00626684
 -0.01794516]"
class,"[-0.0227256  -0.00372731  0.01020003 ... -0.022661   -0.01122714
 -0.03080036]"
classic,"[-0.00816858 -0.01001985  0.00139943 ... -0.02214772 -0.00240024
 -0.01296567]"
classified,"[-0.02013553  0.00501554  0.03715974 ... -0.01494021 -0.0026637
 -0.01558596]"
clay,"[-0.02316042 -0.01438355  0.01059039 ... -0.01849511 -0.01665391
 -0.01953338]"
clear,"[-0.022264    0.00441691  0.0014355  ... -0.00689798 -0.00035974
 -0.00083119]"
clearly,"[-0.00559274 -0.02629192 -0.01087664 ... -0.00735852  0.00754651
 -0.01005082]"
climate,"[-0.00382957 -0.00566125  0.00048562 ... -0.00057132  0.00394729
 -0.0018992 ]"
climatic,"[-0.03960779 -0.00282552  0.00072615 ... -0.01231853 -0.00640497
 -0.01623623]"
clinical,"[-0.03489115 -0.00644177 -0.01067292 ... -0.01905074 -0.00851158
 -0.00441068]"
clinton,"[-0.00397033 -0.02529719  0.00442912 ... -0.00083068 -0.00453853
 -0.01514725]"
close,"[-0.01763011 -0.02407815  0.01104602 ...  0.00691057 -0.00404703
  0.00563524]"
closed,"[-0.02242649 -0.0213409  -0.01168047 ...  0.0037137   0.00401258
 -0.02381441]"
clot,"[-0.02999837  0.00125809 -0.01165733 ... -0.0099146   0.01166386
 -0.03430622]"
cloud,"[-0.03872013  0.00060863 -0.01380468 ... -0.01111077  0.01750397
 -0.02400029]"
club,"[-0.01410079 -0.00685067  0.00520957 ... -0.00641792 -0.00815555
 -0.01708339]"
cmv,"[-0.00964796 -0.01201924  0.01868716 ... -0.01763955 -0.01751214
 -0.02198573]"
cnn,"[-0.01726476 -0.01646339  0.00044023 ... -0.01816456  0.00786615
 -0.01926118]"
co2,"[-0.01236388  0.00236095 -0.00450621 ... -0.00925134 -0.0170161
 -0.02147586]"
cobalt,"[-0.00865049 -0.0137137  -0.00693627 ... -0.00677081 -0.01405787
 -0.01580518]"
cobra,"[-0.03531447 -0.01342728  0.00359982 ... -0.00600976  0.00227754
 -0.01218041]"
code,"[-0.02595734 -0.0118006   0.00214481 ... -0.00370724 -0.00363403
  0.00114978]"
coding,"[ 0.00711711 -0.03937359 -0.00170307 ... -0.0186319   0.00192998
 -0.01034344]"
coen,"[-0.00618654 -0.00200965  0.00684876 ... -0.01790451  0.00680272
 -0.00654421]"
coffin,"[-0.01183057 -0.01895121 -0.00401668 ... -0.01883973 -0.00085829
 -0.0094547 ]"
coincidence,"[-0.01471575 -0.00099657 -0.01939575 ... -0.00109002  0.0065599
 -0.00744774]"
coincidental,"[-0.01797273  0.00093608 -0.01310512 ... -0.01316164  0.00636888
 -0.01818468]"
col,"[-0.00183813 -0.02289743  0.0137894  ...  0.00831632 -0.00564863
 -0.02673891]"
colares,"[-0.02142152 -0.00367158  0.00014409 ... -0.0046279  -0.00043226
 -0.01321768]"
cold,"[-0.014264   -0.01353722  0.00808973 ...  0.00961122 -0.01680436
 -0.01808132]"
cole,"[ 0.02208031 -0.04276367  0.01160321 ... -0.0148675  -0.00174084
 -0.02242242]"
collapse,"[ 0.00431791 -0.0282961  -0.00208546 ...  0.00234453 -0.01252378
 -0.02207831]"
collapsed,"[-0.02027055 -0.01870817  0.0054616  ... -0.00741458 -0.0041989
 -0.01713232]"
collection,"[-0.00944361 -0.02458618 -0.03072247 ... -0.01325658 -0.00966911
 -0.02395752]"
collier,"[ 0.02743377 -0.01535566 -0.0077127  ... -0.01105998 -0.0207392
 -0.03938635]"
collusion,"[-0.00777087 -0.01743285 -0.0164873  ...  0.00424834 -0.01338428
 -0.03563813]"
columbian,"[-0.01961697 -0.02169291 -0.0017851  ...  0.00350925 -0.02948118
 -0.03162678]"
com,"[ 0.00148331 -0.03105222  0.01951347 ... -0.02377393 -0.00930611
 -0.00399077]"
come,"[-0.01648353 -0.00940912  0.00350381 ... -0.01262987 -0.01139924
 -0.02758038]"
coming,"[-0.02190259 -0.01443519  0.0024188  ... -0.01837819 -0.01067447
 -0.03297542]"
comment,"[-0.00814692 -0.02877513 -0.01225865 ... -0.00976796 -0.00034417
 -0.02521303]"
comments,"[ 0.0253958  -0.02236222  0.01093063 ... -0.0032858  -0.00887809
 -0.02311365]"
commission,"[ 0.00023548 -0.02260577  0.01032838 ...  0.00052328 -0.02458223
 -0.00997152]"
committee,"[-0.00737231 -0.01608895  0.00072311 ... -0.03029013  0.00462289
 -0.03449471]"
common,"[-0.02966732  0.00061807 -0.00158457 ... -0.02776234  0.005813
 -0.03661491]"
commonwealth,"[-0.01184685 -0.02659412  0.01190991 ... -0.02341347 -0.02292307
 -0.01930806]"
communism,"[ 0.00354898 -0.00936061  0.02260425 ... -0.01159741 -0.01144977
 -0.02967638]"
communities,"[-0.03071089 -0.01639261 -0.01837266 ... -0.01249314 -0.00136212
 -0.01566525]"
community,"[-0.0042999  -0.01959069 -0.00979535 ... -0.00673175  0.00951684
 -0.02014771]"
companies,"[-0.01963222 -0.01981297  0.00056267 ... -0.00094807 -0.02638949
 -0.00250964]"
company,"[-0.00787215 -0.0343537   0.00701813 ... -0.02928467 -0.00849889
 -0.02549667]"
compare,"[-0.04126737 -0.01067144 -0.00393739 ... -0.02452759  0.00671063
 -0.03248936]"
compared,"[-0.00240073 -0.02331551  0.00585628 ... -0.00575696 -0.00677068
 -0.014877  ]"
compares,"[-0.00921418 -0.02488863 -0.00266762 ... -0.00986987 -0.00462434
 -0.00980775]"
comparing,"[-0.0187306  -0.01789689 -0.0017777  ... -0.00394621 -0.00324624
 -0.01515956]"
compel,"[-0.00201746 -0.03146608  0.00349857 ... -0.00401739  0.00347052
 -0.00868683]"
compelling,"[-0.00912551 -0.03421232 -0.02492042 ...  0.0034179   0.01544214
 -0.03202913]"
compensation,"[ 0.00055231 -0.02918832 -0.00754917 ... -0.00317501  0.00783533
 -0.0131838 ]"
compilation,"[ 0.00392895 -0.03113377  0.01123523 ... -0.00821661  0.00943489
 -0.01121493]"
complaining,"[-0.00411447 -0.01259278 -0.00679858 ... -0.0085545  -0.00250055
 -0.01644404]"
complete,"[-0.00412262 -0.01547288 -0.0033664  ...  0.00539808 -0.00867736
 -0.01819108]"
complications,"[-0.01854134 -0.02647589 -0.0015768  ...  0.00231596 -0.01332017
 -0.01280627]"
compound,"[-0.00397849 -0.01960003  0.00269483 ... -0.00629418 -0.01830787
 -0.02346291]"
computer,"[-0.02978979 -0.00436429 -0.00940434 ...  0.01454293 -0.01756978
 -0.02227195]"
comvideoq95dngnf2jsj,"[-0.01197654 -0.02847519  0.01372886 ... -0.0226247  -0.01608177
 -0.01385604]"
concern,"[ 0.00283287 -0.01498152 -0.00945879 ... -0.01781439 -0.02015695
 -0.00948603]"
concerning,"[-0.01207974  0.00559793 -0.027695   ... -0.02069246 -0.01407361
 -0.00991456]"
concerns,"[-0.02831303 -0.00920726 -0.00178166 ... -0.01043075 -0.01754357
 -0.00264052]"
conclusion,"[-0.02226226 -0.00022043 -0.00384653 ... -0.01049182 -0.01652266
 -0.01626693]"
condensed,"[-0.00677182 -0.01819989  0.00883425 ... -0.01588837 -0.00714047
 -0.03307863]"
condition,"[-9.02509200e-05  1.45349780e-03  2.94665201e-03 ... -1.37315020e-02
 -7.10368995e-03 -2.60698535e-02]"
conditioned,"[-0.01080833 -0.01146214  0.01186396 ...  0.0016473   0.0023241
 -0.00480143]"
conduct,"[-0.00912459 -0.02964448 -0.00606681 ... -0.01040622  0.00151148
 -0.01326201]"
conducted,"[-0.02972558 -0.01035955 -0.0182489  ... -0.00655711 -0.01405096
 -0.01906767]"
conducting,"[ 0.00269712 -0.01933126  0.01155673 ... -0.01123498 -0.00374609
 -0.02101224]"
conference,"[-0.00031189 -0.03721338  0.00279991 ... -0.01159888  0.00497604
 -0.02080242]"
confess,"[-0.02060825 -0.02567541  0.00515886 ... -0.01071847  0.0047615
 -0.03428822]"
confessed,"[-0.01141711 -0.03128832  0.00223245 ... -0.00503576 -0.00266909
  0.00226643]"
confessions,"[-0.02987925 -0.01014287 -0.00795887 ... -0.01503342  0.01221968
  0.00078592]"
confident,"[-0.02561106 -0.02299826  0.00403797 ... -0.00553299  0.00167055
 -0.00114659]"
confirm,"[ 0.00674086 -0.02712449 -0.00745554 ... -0.02210491 -0.01044179
 -0.01473661]"
confirming,"[ 0.00919549 -0.02820892  0.00825472 ... -0.02999143 -0.01407617
 -0.02552101]"
confirms,"[-0.01301264  0.0017526   0.01167065 ... -0.01357347  0.02473002
 -0.03375675]"
conflict,"[-0.0072234  -0.0254097   0.01117139 ... -0.01842842  0.00233886
 -0.02093039]"
conflicts,"[ 8.10345926e-04  6.39718273e-05 -8.24386161e-03 ... -1.03377607e-02
  4.47206944e-03 -2.05229856e-02]"
confronted,"[-0.01935306 -0.02157145  0.00538606 ... -0.0111668   0.00134736
 -0.00384135]"
congress,"[-0.01282502 -0.00096121 -0.01462844 ... -0.01875819  0.00088662
 -0.00384818]"
connection,"[-0.02142098  0.01073081 -0.01658399 ... -0.00848168 -0.0066153
 -0.01520199]"
conquer,"[-1.84004065e-02 -2.88875420e-02  9.28919297e-03 ... -4.32628579e-03
  6.59403522e-05 -1.11237569e-02]"
conscience,"[-0.01082562 -0.01785628 -0.0078762  ... -0.00675103 -0.00656461
 -0.00615516]"
consensus,"[-0.01979039 -0.03394452 -0.0146619  ...  0.00853691 -0.00608374
 -0.03008546]"
consent,"[-0.00382791 -0.01689656 -0.00374522 ... -0.02568939  0.00484432
 -0.00103278]"
conservative,"[-0.00881928 -0.01537406 -0.00461767 ...  0.00126185 -0.00053714
 -0.00687536]"
consider,"[-0.01015816 -0.01917449  0.00448031 ... -0.00652378 -0.00724091
 -0.02177844]"
considered,"[-0.0022392  -0.01703709  0.01555799 ... -0.00896365 -0.00764204
 -0.03218422]"
consistently,"[-0.00487079 -0.0219596   0.00325118 ... -0.00105437 -0.00414564
 -0.01341519]"
conspiracies,"[ 0.00299984 -0.01894989  0.00824287 ... -0.00771388  0.00936781
 -0.0122873 ]"
conspiracy,"[-0.00302794 -0.0199103  -0.00128362 ...  0.02256768 -0.00280928
 -0.01780042]"
conspiring,"[ 0.01052626 -0.00929796 -0.00075267 ... -0.00829612  0.00100442
 -0.02038004]"
constant,"[ 0.00482184 -0.02989611 -0.00500147 ... -0.00557911  0.01084122
 -0.00101526]"
constitution,"[-0.02203715 -0.01266968 -0.00186002 ...  0.00255921  0.0084442
  0.00153485]"
consumption,"[ 0.01361017 -0.00448115 -0.0036376  ... -0.00163626  0.01669764
 -0.01154964]"
contact,"[-0.00793741 -0.03543772 -0.01715763 ... -0.01481917 -0.00225328
 -0.00231174]"
contagion,"[-0.02624659 -0.00557826 -0.00350526 ...  0.01966781  0.00297244
  0.00946385]"
contain,"[-0.02514631 -0.01456197  0.00689957 ...  0.01153788 -0.00646707
  0.0088952 ]"
contend,"[ 0.0005333  -0.00844048  0.01058432 ... -0.01378589 -0.01282045
 -0.02889215]"
content,"[ 0.013162   -0.00769163 -0.03512626 ... -0.01416915 -0.01804601
 -0.01730099]"
continent,"[-0.01611368 -0.00158442 -0.00472086 ... -0.02653777  0.00289425
 -0.00274246]"
continue,"[-0.00087118 -0.01277325  0.01575461 ... -0.0194566   0.00653145
  0.00834359]"
continuing,"[-0.00721655 -0.01053412 -0.00221627 ... -0.02284672 -0.01092401
 -0.00819472]"
contract,"[-0.00185295 -0.01253885  0.01470118 ... -0.01952905 -0.00645302
 -0.00756819]"
contractor,"[-0.0113672  -0.02347559  0.01369766 ... -0.01891446  0.00141199
  0.00294514]"
contribute,"[-0.00169846 -0.02413156 -0.00156375 ... -0.04805924 -0.0040013
  0.01053662]"
contributor,"[-0.0101266  -0.01143812  0.00774725 ... -0.02263256  0.0167415
 -0.00953893]"
control,"[-0.00119811 -0.0145208   0.01301551 ...  0.00172933 -0.00400827
 -0.00489044]"
controlled,"[-0.00825902 -0.01858639 -0.00588186 ... -0.02608415  0.01693459
 -0.0158286 ]"
controlling,"[ 0.00363367 -0.02088766 -0.02224224 ...  0.01059961  0.01869324
 -0.01580798]"
convenient,"[-0.0123581  -0.00964747 -0.01737212 ... -0.00305614  0.0242088
 -0.03076507]"
conveniently,"[-0.01204369 -0.00714907 -0.00752814 ... -0.0017324   0.02294354
 -0.01820852]"
cop,"[-0.00194777 -0.02275055 -0.0105934  ... -0.01934627  0.00395782
 -0.0100191 ]"
copied,"[ 0.00095943 -0.01698404  0.01507878 ... -0.00889349 -0.00217914
  0.00557629]"
cops,"[-0.02421823 -0.03024564  0.0070184  ... -0.00244015 -0.00600365
  0.00271675]"
corbett,"[ 0.00125023 -0.01306537  0.00500742 ... -0.0148243  -0.00021865
 -0.00731479]"
coronavirus,"[ 0.00242472 -0.02451135 -0.00154341 ... -0.01779186 -0.0115302
 -0.01205846]"
coronaviruses,"[ 0.00687051 -0.02488636 -0.00840249 ... -0.01655077 -0.00865671
 -0.00236153]"
corporation,"[-0.02536718 -0.00624355  0.00504769 ... -0.0264648  -0.01350342
 -0.01432324]"
corpse,"[ 0.00449882 -0.02011711  0.00685902 ... -0.0222658   0.00176763
  0.01289886]"
correction,"[-0.02330923  0.00636108 -0.00123244 ... -0.00270116  0.01782871
  0.00147383]"
corrupt,"[-0.00217649 -0.02026267 -0.00967717 ... -0.00851032  0.00397218
 -0.01505027]"
corruption,"[ 0.0075819  -0.00852612  0.00158191 ... -0.00728595 -0.01249323
 -0.01064003]"
couid,"[-0.01925575  0.01054098 -0.02468066 ...  0.00392433  0.01489165
 -0.00189335]"
could,"[ 0.01184666 -0.01578627  0.00378996 ... -0.01564706 -0.00361595
 -0.01696954]"
council,"[-0.0009715   0.00648106  0.00756013 ... -0.02281279 -0.0154645
 -0.00883118]"
count,"[ 0.00735102 -0.00667627  0.02001865 ... -0.00294821 -0.01267441
 -0.02937697]"
countdown,"[-0.01172074 -0.01791034 -0.02161093 ... -0.00534347  0.01288623
 -0.00807941]"
counted,"[-0.01256932 -0.00088643  0.00622703 ...  0.00129659  0.00873208
  0.00564399]"
counter,"[-2.27384865e-02 -8.99008755e-03 -1.09727178e-02 ...  4.86556813e-03
 -8.47655442e-03 -5.95195161e-05]"
countermeasure,"[-0.00259666 -0.01080238 -0.00023029 ... -0.00395618 -0.01237815
  0.00988374]"
country,"[-0.00728484 -0.00948046 -0.0023176  ... -0.004171   -0.00928394
  0.00274452]"
county,"[-0.01007458 -0.02141343 -0.02733966 ...  0.01128617  0.00588013
 -0.02910435]"
course,"[-0.01678145 -0.00946474 -0.01385477 ...  0.00427591  0.0101897
 -0.02878354]"
court,"[-0.03194711 -0.00847827 -0.00959778 ...  0.00778881 -0.01627391
 -0.02962616]"
cousin,"[-0.01498234 -0.01494213  0.00235355 ... -0.01529056  0.01151817
  0.00219442]"
cov2,"[ 0.00922287 -0.01399745  0.01969765 ...  0.00745154 -0.00505759
  0.00435506]"
cover,"[-0.01408095 -0.02164048  0.00728004 ... -0.01129271  0.00731997
  0.02219946]"
coverage,"[ 0.02231484  0.00874783 -0.00640373 ... -0.02545777  0.01551824
  0.0070716 ]"
covering,"[-0.01291146 -0.0138079   0.02030533 ... -0.00714369 -0.01834567
 -0.02637886]"
covert,"[-0.00174171 -0.01582835  0.01782828 ... -0.00255418 -0.01282847
 -0.03031466]"
coverup,"[-0.003633   -0.00605955  0.00028756 ... -0.01907157 -0.00638673
 -0.0134687 ]"
covid,"[-0.02451885 -0.0215432   0.0083076  ... -0.01127652  0.00498523
 -0.00321128]"
covid19,"[-0.00969165  0.00129084  0.0118946  ... -0.01190122 -0.00052179
 -0.02595907]"
cowboy,"[-0.03098527 -0.00105071  0.00529187 ... -0.01745086  0.01120985
 -0.02237973]"
cracking,"[-0.02784852 -0.00921164  0.00060845 ... -0.01985637 -0.00625248
 -0.00996952]"
crackpot,"[-0.03530399 -0.00428127 -0.01830372 ... -0.0195933  -0.01254914
 -0.01799866]"
craft,"[ 0.00955346 -0.01310169  0.01190751 ...  0.0020006  -0.00584051
 -0.01640285]"
crashing,"[-0.00236949 -0.00674727  0.01595072 ... -0.01504048 -0.02340594
 -0.015315  ]"
crazy,"[ 0.02010432 -0.03102692  0.0369796  ... -0.01686124 -0.03085845
 -0.02764344]"
create,"[-0.03190504 -0.0194832   0.00358867 ... -0.02331026  0.0043296
 -0.01734417]"
created,"[-0.01337317 -0.0099583   0.00939963 ...  0.0109639  -0.00543307
 -0.00796803]"
creates,"[-0.01573771 -0.02706199  0.02188215 ... -0.00795474 -0.00344882
 -0.03020689]"
creating,"[-0.03465293  0.00538836  0.01960039 ...  0.00766577  0.00332718
 -0.00819589]"
creation,"[-0.03292725 -0.01572975 -0.00248374 ... -0.00242489 -0.00212546
 -0.02442543]"
creator,"[-0.03581681 -0.02331495  0.00747969 ... -0.00722133 -0.01401418
 -0.00857612]"
creature,"[-0.02063251 -0.02544858  0.02148079 ... -0.00701204 -0.00995368
 -0.01570698]"
credit,"[-0.00903574 -0.02652644  0.00750952 ... -0.00439631  0.00025936
 -0.02424387]"
crescent,"[ 0.00486607 -0.00134558  0.00246967 ... -0.00410002  0.00557216
 -0.01474808]"
crew,"[ 5.36530884e-03 -1.67035091e-06  1.61222909e-02 ... -4.08659875e-03
 -1.17984060e-02 -2.02352554e-02]"
crime,"[ 0.0028204  -0.0178183   0.0048452  ... -0.0093392   0.00171661
 -0.02044159]"
crimes,"[ 0.00504134 -0.00270084  0.02147072 ...  0.02121237 -0.00260565
  0.00218923]"
criminal,"[ 0.00190384  0.00176933 -0.00269883 ... -0.01049871  0.00084155
 -0.02193555]"
criminality,"[ 0.0012981  -0.00303908  0.00502272 ...  0.00571843  0.00671958
 -0.00812458]"
crisis,"[ 0.02810018  0.00069785  0.01074692 ... -0.01713393 -0.02286297
 -0.0170143 ]"
critic,"[ 0.00968853 -0.00401077  0.00962852 ... -0.01600308 -0.01168892
 -0.0283788 ]"
criticism,"[-0.01215804  0.00312464  0.01674484 ... -0.00699037 -0.00025517
 -0.00985462]"
criticizing,"[-0.00999045  0.00565675  0.01922486 ...  0.00266637  0.00313214
 -0.00492097]"
croatia,"[-0.02176222 -0.01287598  0.00710411 ... -0.00028402 -0.00883044
 -0.01893034]"
